META	SCAN_START_UTC	2026-07-16T19:34:16Z
PARENT	47022040	/Users/jleechan/projects/worldarchitect.ai
PARENT	37375380	/Users/jleechan/.colima/_lima
PARENT	30085028	/Users/jleechan/Library/Messages
PARENT	25192104	/Users/jleechan/Library/Application Support
PARENT	24074712	/Users/jleechan/.gemini/antigravity-cli
PARENT	19199032	/Users/jleechan/.codex/sessions
PARENT	14430380	/Users/jleechan/Pictures/Photos Library.photoslibrary
PARENT	9343024	/Users/jleechan/project_worldaiclaw/worldai_claw
PARENT	8049216	/Users/jleechan/.ao/data
PARENT	7502524	/Users/jleechan/.claude/projects
PARENT	6363276	/Users/jleechan/projects/user_scope
PARENT	6003072	/Users/jleechan/Library/Mail
PARENT	5798780	/Users/jleechan/.nvm/versions
PARENT	5778980	/Users/jleechan/Library/Caches
PARENT	5695124	/Users/jleechan/.local/share
PARENT	5271132	/Users/jleechan/.lima/colima
OK	4	/Users/jleechan/projects/worldarchitect.ai/.cursorignore
OK	20	/Users/jleechan/projects/worldarchitect.ai/benchmark_results
OK	4	/Users/jleechan/projects/worldarchitect.ai/run_browser_tests.sh
OK	4	/Users/jleechan/projects/worldarchitect.ai/firestore_service.py
OK	4	/Users/jleechan/projects/worldarchitect.ai/test_mobile_server.py
OK	12	/Users/jleechan/projects/worldarchitect.ai/.husky
OK	88	/Users/jleechan/projects/worldarchitect.ai/worldarchitect_mcp.egg-info
OK	1424	/Users/jleechan/projects/worldarchitect.ai/world_reference
OK	52	/Users/jleechan/projects/worldarchitect.ai/browser_test_04_password_page.png
OK	16	/Users/jleechan/projects/worldarchitect.ai/design
OK	4	/Users/jleechan/projects/worldarchitect.ai/.qwen
OK	20	/Users/jleechan/projects/worldarchitect.ai/browser_test_01_home.png
OK	4	/Users/jleechan/projects/worldarchitect.ai/ghfixtests.sh
OK	56	/Users/jleechan/projects/worldarchitect.ai/job.log
OK	4	/Users/jleechan/projects/worldarchitect.ai/run_expanded_evidence.sh
OK	256	/Users/jleechan/projects/worldarchitect.ai/.cursor
OK	4	/Users/jleechan/projects/worldarchitect.ai/kill_dev_server.sh
OK	8	/Users/jleechan/projects/worldarchitect.ai/tools
OK	4	/Users/jleechan/projects/worldarchitect.ai/render.yaml
OK	4	/Users/jleechan/projects/worldarchitect.ai/.githooks
OK	52	/Users/jleechan/projects/worldarchitect.ai/text_processor
OK	4	/Users/jleechan/projects/worldarchitect.ai/start-claude-bot.sh
OK	2248	/Users/jleechan/projects/worldarchitect.ai/shard1
OK	2064	/Users/jleechan/projects/worldarchitect.ai/.gemini
OK	4	/Users/jleechan/projects/worldarchitect.ai/hello_world.py
OK	2236	/Users/jleechan/projects/worldarchitect.ai/screenshots
OK	4	/Users/jleechan/projects/worldarchitect.ai/LICENSE
OK	40	/Users/jleechan/projects/worldarchitect.ai/run_local_server.sh
OK	116	/Users/jleechan/projects/worldarchitect.ai/analysis
OK	4	/Users/jleechan/projects/worldarchitect.ai/create_snapshot.sh
OK	336	/Users/jleechan/projects/worldarchitect.ai/uv.lock
OK	8	/Users/jleechan/projects/worldarchitect.ai/openclaw
OK	64	/Users/jleechan/projects/worldarchitect.ai/claude-bot-commands
OK	104	/Users/jleechan/projects/worldarchitect.ai/.pytest_cache
OK	468	/Users/jleechan/projects/worldarchitect.ai/goals
OK	20	/Users/jleechan/projects/worldarchitect.ai/pr-body.md
OK	4	/Users/jleechan/projects/worldarchitect.ai/config
OK	8	/Users/jleechan/projects/worldarchitect.ai/run_test_server.sh
OK	28	/Users/jleechan/projects/worldarchitect.ai/ui_verification_screenshots
OK	4	/Users/jleechan/projects/worldarchitect.ai/.pre-commit-config.yaml
OK	12	/Users/jleechan/projects/worldarchitect.ai/INCREMENTAL_FETCH_DESIGN.md
OK	96	/Users/jleechan/projects/worldarchitect.ai/specs
OK	112216	/Users/jleechan/projects/worldarchitect.ai/evidence
OK	8	/Users/jleechan/projects/worldarchitect.ai/PR_3GEN_BACKSTORY.md
OK	104	/Users/jleechan/projects/worldarchitect.ai/.dark-factory
OK	136	/Users/jleechan/projects/worldarchitect.ai/.tmp_frame_end.png
OK	68	/Users/jleechan/projects/worldarchitect.ai/evaluation_reports
OK	4	/Users/jleechan/projects/worldarchitect.ai/.pr-metadata.json
OK	8	/Users/jleechan/projects/worldarchitect.ai/schedule_branch_work.sh
OK	8	/Users/jleechan/projects/worldarchitect.ai/deploy_mcp.sh
OK	52	/Users/jleechan/projects/worldarchitect.ai/moltbook_poster
OK	44	/Users/jleechan/projects/worldarchitect.ai/experiments
OK	4	/Users/jleechan/projects/worldarchitect.ai/GENESIS.md
OK	4	/Users/jleechan/projects/worldarchitect.ai/WIP_copy_campaign.md
OK	7756	/Users/jleechan/projects/worldarchitect.ai/roadmap
